Encoder Position: -179329  Error: 184329  Integral Component: 304699  Control Voltage: 18432.9
Encoder Position: -179193  Error: 184193  Integral Component: 306541  Control Voltage: 18419.3
Encoder Position: -179193  Error: 184193  Integral Component: 308383  Control Voltage: 18419.3
Encoder Position: -179056  Error: 184056  Integral Component: 310224  Control Voltage: 18405.6
Encoder Position: -178920  Error: 183920  Integral Component: 312063  Control Voltage: 18392
Encoder Position: -178920  Error: 183920  Integral Component: 313902  Control Voltage: 18392
Encoder Position: -178784  Error: 183784  Integral Component: 315740  Control Voltage: 18378.4
Encoder Position: -178647  Error: 183784  Integral Component: 317578  Control Voltage: 18378.4
Encoder Position: -178647  Error: 183647  Integral Component: 319414  Control Voltage: 18364.7
Encoder Position: -178511  Error: 183511  Integral Component: 321249  Control Voltage: 18351.1
Encoder Position: -178511  Error: 183511  Integral Component: 323084  Control Voltage: 18351.1
Encoder Position: -178374  Error: 183374  Integral Component: 324918  Control Voltage: 18337.4
Encoder Position: -178238  Error: 183374  Integral Component: 326752  Control Voltage: 18337.4
Encoder Position: -178238  Error: 183238  Integral Component: 328584  Control Voltage: 18323.8
Encoder Position: -178101  Error: 183101  Integral Component: 330415  Control Voltage: 18310.1
Encoder Position: -178101  Error: 183101  Integral Component: 332246  Control Voltage: 18310.1
Encoder Position: -177965  Error: 182965  Integral Component: 334076  Control Voltage: 18296.5
Encoder Position: -177829  Error: 182829  Integral Component: 335904  Control Voltage: 18282.9
Encoder Position: -177829  Error: 182829  Integral Component: 337732  Control Voltage: 18282.9
Encoder Position: -177692  Error: 182692  Integral Component: 339559  Control Voltage: 18269.2
Encoder Position: -177556  Error: 182692  Integral Component: 341386  Control Voltage: 18269.2
Encoder Position: -177556  Error: 182556  Integral Component: 343212  Control Voltage: 18255.6
Encoder Position: -177420  Error: 182420  Integral Component: 345036  Control Voltage: 18242
Encoder Position: -177284  Error: 182420  Integral Component: 346860  Control Voltage: 18242
Encoder Position: -177284  Error: 182284  Integral Component: 348683  Control Voltage: 18228.4
Encoder Position: -177147  Error: 182147  Integral Component: 350504  Control Voltage: 18214.7
Encoder Position: -177011  Error: 182011  Integral Component: 352325  Control Voltage: 18201.1
Encoder Position: -177011  Error: 182011  Integral Component: 354145  Control Voltage: 18201.1
Encoder Position: -176875  Error: 181875  Integral Component: 355963  Control Voltage: 18187.5
Encoder Position: -176739  Error: 181739  Integral Component: 357781  Control Voltage: 18173.9
Encoder Position: -176739  Error: 181739  Integral Component: 359598  Control Voltage: 18173.9
Encoder Position: -176602  Error: 181602  Integral Component: 361414  Control Voltage: 18160.2
Encoder Position: -176466  Error: 181466  Integral Component: 363229  Control Voltage: 18146.6
Encoder Position: -176329  Error: 181466  Integral Component: 365044  Control Voltage: 18146.6
Encoder Position: -176329  Error: 181329  Integral Component: 366857  Control Voltage: 18132.9
Encoder Position: -176193  Error: 181193  Integral Component: 368669  Control Voltage: 18119.3
Encoder Position: -176057  Error: 181057  Integral Component: 370479  Control Voltage: 18105.7
Encoder Position: -176057  Error: 181057  Integral Component: 372290  Control Voltage: 18105.7
Encoder Position: -175920  Error: 180920  Integral Component: 374099  Control Voltage: 18092
Encoder Position: -175783  Error: 180920  Integral Component: 375908  Control Voltage: 18092
Encoder Position: -175783  Error: 180783  Integral Component: 377716  Control Voltage: 18078.3
Encoder Position: -175647  Error: 180647  Integral Component: 379523  Control Voltage: 18064.7
Encoder Position: -175647  Error: 180647  Integral Component: 381329  Control Voltage: 18064.7
Encoder Position: -175510  Error: 180510  Integral Component: 383134  Control Voltage: 18051
Encoder Position: -175374  Error: 180510  Integral Component: 384939  Control Voltage: 18051
Encoder Position: -175374  Error: 180374  Integral Component: 386743  Control Voltage: 18037.4
Encoder Position: -175237  Error: 180237  Integral Component: 388545  Control Voltage: 18023.7
Encoder Position: -175100  Error: 180100  Integral Component: 390346  Control Voltage: 18010
Encoder Position: -175100  Error: 180100  Integral Component: 392147  Control Voltage: 18010
Encoder Position: -174964  Error: 179964  Integral Component: 393947  Control Voltage: 17996.4
Encoder Position: -174827  Error: 179964  Integral Component: 395747  Control Voltage: 17996.4
Encoder Position: -174827  Error: 179827  Integral Component: 397545  Control Voltage: 17982.7
Encoder Position: -174691  Error: 179691  Integral Component: 399342  Control Voltage: 17969.1
Encoder Position: -174554  Error: 179691  Integral Component: 401139  Control Voltage: 17969.1
Encoder Position: -174554  Error: 179554  Integral Component: 402934  Control Voltage: 17955.4
Encoder Position: -174417  Error: 179417  Integral Component: 404728  Control Voltage: 17941.7
Encoder Position: -174281  Error: 179281  Integral Component: 406521  Control Voltage: 17928.1
Encoder Position: -174281  Error: 179281  Integral Component: 408314  Control Voltage: 17928.1
Encoder Position: -174144  Error: 179144  Integral Component: 410105  Control Voltage: 17914.4
Encoder Position: -174144  Error: 179144  Integral Component: 411897  Control Voltage: 17914.4
Encoder Position: -174008  Error: 179008  Integral Component: 413687  Control Voltage: 17900.8
Encoder Position: -173871  Error: 178871  Integral Component: 415476  Control Voltage: 17887.1
Encoder Position: -173735  Error: 178871  Integral Component: 417264  Control Voltage: 17887.1
Encoder Position: -173735  Error: 178735  Integral Component: 419052  Control Voltage: 17873.5
Encoder Position: -173598  Error: 178598  Integral Component: 420838  Control Voltage: 17859.8
Encoder Position: -173462  Error: 178598  Integral Component: 422624  Control Voltage: 17859.8
Encoder Position: -173462  Error: 178462  Integral Component: 424408  Control Voltage: 17846.2
Encoder Position: -173325  Error: 178325  Integral Component: 426192  Control Voltage: 17832.5
Encoder Position: -173325  Error: 178325  Integral Component: 427975  Control Voltage: 17832.5
Encoder Position: -173188  Error: 178188  Integral Component: 429757  Control Voltage: 17818.8
Encoder Position: -173051  Error: 178051  Integral Component: 431537  Control Voltage: 17805.1
Encoder Position: -172915  Error: 178051  Integral Component: 433318  Control Voltage: 17805.1
Encoder Position: -172915  Error: 177915  Integral Component: 435097  Control Voltage: 17791.5
Encoder Position: -172778  Error: 177778  Integral Component: 436875  Control Voltage: 17777.8
Encoder Position: -172641  Error: 177778  Integral Component: 438652  Control Voltage: 17777.8
Encoder Position: -172641  Error: 177641  Integral Component: 440429  Control Voltage: 17764.1
Encoder Position: -172505  Error: 177505  Integral Component: 442204  Control Voltage: 17750.5
